"","KIDS","SNAP","FINC","NPL","AGE","FERH"
"290",2,"No",290000,4,28.5,"No"
"291",2,"No",135000,4,23.5,"No"
"292",1,"No",86200,2,35,"No"
"293",2,"No",50000,4,25.25,"No"
"294",1,"No",138000,3,31.6666666666667,"No"
"295",1,"No",38900,2,22,"No"
"296",4,"No",150000,6,21.3333333333333,"No"
"297",3,"No",164000,7,29.7142857142857,"No"
"298",1,"No",95500,4,40,"No"
"299",2,"Yes",76000,4,29.25,"No"
"300",1,"No",116000,3,28.3333333333333,"No"
"301",1,"No",140150,2,35.5,"No"
"302",3,"No",67000,5,21.6,"No"
"303",3,"No",111200,5,21.2,"Yes"
"304",1,"No",81000,3,21.3333333333333,"No"
"305",1,"No",43000,3,23,"No"
"306",2,"No",182000,4,18,"Yes"
"307",1,"No",44000,3,29.3333333333333,"Yes"
"308",2,"No",112000,4,26.75,"No"
"309",2,"No",95060,3,23,"No"
"310",3,"No",32600,5,21,"No"
"311",1,"No",260080,3,40,"No"
"312",2,"No",213000,4,18.25,"No"
"313",2,"No",113000,4,34.5,"No"
"314",1,"No",11200,2,26,"No"
"315",1,"No",270000,3,37.3333333333333,"No"
"316",3,"No",135000,5,12.6,"Yes"
"317",3,"No",70500,5,22.8,"No"
"318",2,"Yes",2000,3,13.6666666666667,"No"
"319",1,"No",127000,3,21.3333333333333,"Yes"
"320",1,"No",111300,5,42.2,"No"
"321",2,"No",47500,5,44,"No"
"322",2,"No",910350,4,27.75,"No"
"323",2,"Yes",13000,3,15.6666666666667,"No"
"324",1,"Yes",37900,3,32.3333333333333,"No"
"325",3,"No",235000,5,24,"No"
"326",3,"No",46000,5,23.6,"No"
"327",2,"No",161000,4,20,"No"
"328",2,"No",95100,6,21.6666666666667,"Yes"
"329",2,"No",225200,4,21.25,"No"
"330",3,"No",233800,5,27.4,"No"
"331",1,"No",56000,3,24.3333333333333,"No"
"332",1,"No",88500,3,33.6666666666667,"No"
"333",1,"Yes",16200,3,37.6666666666667,"No"
"334",2,"No",68000,4,27.5,"Yes"
"335",1,"No",134000,5,19,"No"
"336",1,"Yes",31400,5,28,"No"
"337",3,"No",265700,6,33.5,"No"
"338",2,"No",120000,4,27.75,"No"
"339",2,"No",759000,4,21.25,"No"
"340",2,"No",180000,4,20,"Yes"
"341",1,"No",134000,5,29.6,"No"
"342",1,"Yes",14400,3,24.3333333333333,"No"
"343",2,"No",310000,4,20,"No"
"344",3,"No",196000,5,17.8,"Yes"
"345",1,"No",1200,2,41,"No"
"346",1,"No",140000,3,29.3333333333333,"No"
"347",2,"No",310000,4,22.75,"No"
"348",1,"No",140000,4,26.25,"No"
"349",1,"Yes",9000,5,45,"Yes"
"350",1,"No",130000,3,27,"No"
"351",2,"No",305000,5,36,"No"
"352",2,"No",316200,5,28.4,"No"
"353",2,"No",242500,7,36,"No"
"354",1,"No",320000,2,28.5,"No"
"355",4,"Yes",45000,7,19.2857142857143,"Yes"
"356",2,"No",108400,4,31.75,"No"
"357",1,"No",634000,4,35.5,"No"
"358",1,"Yes",14250,2,33,"No"
"359",1,"Yes",17800,2,15,"No"
"360",1,"No",148020,3,42,"No"
"361",2,"No",91500,4,26,"No"
"362",2,"No",221000,4,27.5,"No"
"363",2,"No",14400,5,33.2,"No"
"364",4,"Yes",10000,6,17.5,"Yes"
"365",2,"No",113000,4,18.75,"Yes"
"366",1,"No",2620,2,31,"No"
"367",2,"No",218000,4,25,"No"
"368",1,"No",46400,5,33.4,"No"
"369",1,"No",143400,3,38,"No"
"370",1,"No",75050,2,28.5,"No"
"371",5,"No",56000,7,22,"No"
"372",3,"No",120800,5,25.8,"No"
"373",1,"No",270000,3,39,"No"
"374",1,"No",217000,3,33,"No"
"375",1,"No",155000,3,23.3333333333333,"No"
"376",2,"No",324000,4,18,"Yes"
"377",2,"No",417000,4,25.75,"No"
"378",1,"Yes",72500,6,26.3333333333333,"No"
"379",1,"No",82500,4,46.25,"No"
"380",2,"No",51400,4,33.25,"No"
"381",1,"No",34600,3,25.6666666666667,"No"
"382",1,"No",146500,4,44.25,"No"
"383",3,"Yes",20800,5,25.2,"Yes"
"384",1,"No",201000,5,33.8,"No"
"385",2,"No",116000,4,17.5,"No"
"386",2,"No",42000,3,21,"No"
"387",4,"Yes",14000,5,12.4,"No"
"388",1,"Yes",2900,2,20.5,"No"
"389",2,"No",90400,3,22.3333333333333,"No"
"390",1,"No",64200,2,26.5,"No"
"391",1,"No",32000,3,35.3333333333333,"No"
"392",3,"No",325000,5,16.6,"No"
"393",1,"No",101200,4,35,"No"
"394",2,"Yes",5800,3,14.3333333333333,"No"
"395",1,"Yes",37100,5,40.6,"No"
"396",1,"Yes",16200,3,33.3333333333333,"No"
"397",4,"Yes",8800,6,18.8333333333333,"No"
"398",2,"No",127000,4,24.5,"No"
"399",1,"No",38500,4,34.25,"No"
"400",2,"No",217200,4,25,"No"
"401",1,"No",442540,5,49.2,"No"
"402",1,"No",115500,5,38.8,"No"
"403",3,"No",571000,5,19,"No"
"404",1,"No",405000,4,35,"No"
"405",2,"No",94100,4,35,"No"
"406",1,"No",72370,3,38,"No"
"407",1,"Yes",12180,2,34,"No"
"408",1,"No",94400,3,30,"No"
"409",2,"No",195000,5,30.2,"No"
"410",3,"No",175000,5,21.2,"No"
"411",3,"Yes",13000,4,12.25,"Yes"
"412",1,"Yes",37900,2,14.5,"No"
"413",1,"No",75000,3,26.3333333333333,"No"
"414",2,"No",122020,5,36,"No"
"415",1,"No",17200,2,29.5,"No"
"416",2,"No",95000,4,23.5,"No"
"417",1,"No",130700,5,45.8,"No"
"418",2,"No",63000,4,27.75,"No"
"419",4,"No",68000,6,17.6666666666667,"No"
"420",2,"No",62000,4,22.75,"No"
"421",1,"No",145990,2,34,"No"
"422",2,"No",85300,5,29.6,"No"
"423",2,"No",368000,4,28.75,"No"
"424",1,"No",82700,4,27.5,"No"
"425",2,"No",98000,4,31,"No"
"426",1,"No",125500,3,36.6666666666667,"No"
"427",1,"No",258400,3,22.6666666666667,"No"
"428",1,"No",190000,3,21,"No"
"429",1,"No",368000,3,40.3333333333333,"No"
"430",2,"No",150000,4,30.75,"No"
"431",3,"Yes",0,4,12,"Yes"
"432",1,"No",90000,3,34.3333333333333,"No"
"433",3,"No",145000,5,25.2,"No"
"434",1,"No",97000,2,36,"No"
"435",2,"No",125000,4,27.5,"No"
"436",2,"No",189000,4,33.5,"No"
"437",1,"No",135000,3,22,"No"
"438",2,"No",41000,4,33.5,"No"
"439",1,"No",42600,3,29,"No"
"440",3,"No",344000,5,19.4,"No"
"441",3,"Yes",118000,6,22.6666666666667,"No"
"442",3,"No",222450,6,34.1666666666667,"No"
"443",4,"No",137000,6,14.8333333333333,"Yes"
"444",1,"No",90000,3,37,"No"
"445",1,"No",169200,3,37.3333333333333,"No"
"446",2,"No",38600,5,21.2,"Yes"
"447",2,"No",89000,3,25.3333333333333,"No"
"448",4,"No",97400,7,21.1428571428571,"Yes"
"449",2,"No",150000,4,29.75,"No"
"450",1,"Yes",0,3,26,"No"
"451",1,"No",279700,6,39.1666666666667,"No"
"452",1,"No",9000,2,14.5,"No"
"453",2,"No",81000,4,25.25,"No"
"454",1,"No",144100,3,21.6666666666667,"No"
"455",2,"No",88000,4,20.25,"Yes"
"456",4,"No",188600,6,12.1666666666667,"Yes"
"457",2,"No",109300,4,34,"No"
"458",2,"No",152000,4,22.5,"No"
"459",1,"No",88000,3,21.6666666666667,"Yes"
"460",1,"No",255000,3,39,"No"
"461",2,"No",283150,4,33.75,"No"
"462",3,"No",216500,5,27.8,"No"
"463",2,"No",134000,5,24.8,"No"
"464",3,"Yes",24100,5,12.6,"Yes"
"465",2,"No",148000,5,31.4,"No"
"466",2,"No",831000,4,26,"No"
"467",2,"Yes",98000,4,24.5,"No"
"468",1,"No",198000,3,30,"No"
"469",2,"No",48000,3,18,"No"
"470",2,"No",821000,4,29,"No"
"471",1,"No",606050,3,27.3333333333333,"Yes"
"472",3,"No",120000,5,14.2,"Yes"
"473",2,"No",64000,4,23.25,"No"
"474",1,"Yes",35000,3,27,"No"
"475",2,"No",155000,3,18.6666666666667,"No"
"476",4,"No",97000,6,20.5,"No"
"477",2,"No",169000,4,20.25,"No"
"478",1,"No",55300,2,16,"No"
"479",2,"No",98000,3,24,"No"
"480",1,"No",275000,4,37.25,"No"
"481",2,"No",150000,4,24.75,"No"
"482",3,"Yes",3600,4,16.25,"No"
"483",3,"No",358000,4,19.25,"No"
"484",2,"No",194000,4,16.5,"Yes"
"485",2,"No",410000,4,29,"No"
"486",2,"No",220000,4,33,"No"
"487",1,"No",203500,3,23,"Yes"
"488",3,"Yes",49000,4,16.5,"No"
"489",1,"Yes",3490,2,22.5,"No"
"490",1,"No",102000,4,34.5,"No"
"491",2,"No",605000,7,27,"No"
"492",1,"Yes",30900,3,19.6666666666667,"No"
"493",2,"No",90000,4,23.5,"No"
"494",1,"No",33000,4,45,"No"
"495",2,"No",126340,5,28,"No"
"496",2,"No",104800,3,20.6666666666667,"No"
"497",1,"No",115000,2,22.5,"No"
"498",1,"No",101060,3,28,"No"
"499",3,"No",184500,5,28.4,"No"
"500",1,"No",567500,3,41,"No"
"501",1,"No",74600,3,25.6666666666667,"No"
"502",2,"No",135000,4,19.5,"No"
"503",1,"No",237500,5,35.4,"Yes"
"504",1,"No",55480,3,27,"No"
"505",2,"Yes",0,3,14,"No"
"506",2,"No",261000,4,26.25,"No"
"507",2,"No",305000,4,19.25,"No"
"508",2,"Yes",2800,3,15,"No"
"509",3,"Yes",69000,5,16.8,"Yes"
"510",1,"No",270000,4,32.5,"No"
"511",1,"No",256000,3,23.3333333333333,"Yes"
"512",4,"No",97500,6,15.8333333333333,"No"
"513",1,"No",100600,2,16,"No"
"514",1,"No",1e+05,2,29.5,"No"
"515",2,"Yes",25700,4,17.75,"Yes"
"516",1,"No",42000,2,16.5,"No"
"517",1,"No",30000,4,24.25,"No"
"518",2,"No",190000,4,20.75,"Yes"
"519",1,"No",52680,5,41.4,"No"
"520",1,"No",47000,3,17.3333333333333,"Yes"
"521",1,"No",355000,5,28.2,"No"
"522",2,"No",302900,4,33.25,"No"
"523",1,"Yes",0,3,33.3333333333333,"No"
"524",1,"No",239400,3,29.3333333333333,"No"
"525",1,"No",97500,4,42,"No"
"526",1,"Yes",50440,3,33.6666666666667,"Yes"
"527",1,"No",96400,3,24,"No"
"528",1,"No",145000,4,36,"No"
"529",2,"Yes",7000,3,10.3333333333333,"Yes"
"530",4,"No",1300,6,18.1666666666667,"No"
"531",1,"No",109000,2,21.5,"No"
"532",3,"No",566000,5,24,"No"
"533",2,"No",220000,4,27.25,"No"
"534",2,"No",140000,4,27.75,"No"
"535",1,"No",432750,3,46,"No"
"536",2,"No",188300,4,23.5,"Yes"
"537",1,"No",114800,3,23.3333333333333,"No"
"538",2,"No",311200,6,30.5,"No"
"539",1,"Yes",4000,2,17,"No"
"540",2,"No",214600,4,27.5,"No"
"541",2,"No",97000,4,24,"No"
"542",1,"Yes",29700,5,36.8,"Yes"
"543",1,"No",28000,2,31.5,"No"
"544",3,"Yes",39400,6,28.6666666666667,"No"
"545",2,"No",183000,6,29.6666666666667,"No"
"546",1,"No",113200,3,30,"No"
"547",1,"No",70000,3,26.3333333333333,"No"
"548",3,"No",687500,5,17.4,"No"
